,Instagram Name,Actual Followers (Log),Predicted Followers (Log)
136,132,16.496532086678563,17.148433640078654
137,97,16.924571516825267,17.74514263848135
138,917,16.349207371921707,17.330026586573535
139,102,16.300417207752275,17.155110099412045
140,415,17.764829348136118,16.123522240963496
141,569,17.27182723884751,16.840987718969135
142,682,17.569709478198853,16.844699826439854
143,227,15.60727002719233,16.318157681488373
144,340,16.68340946000838,17.061640851767407
145,775,16.440179150127435,16.718138921760094
146,7,14.914122846632385,17.070229484651424
147,70,16.826131444012017,16.954326925873293
148,759,16.432906390798355,17.110782060139716
149,694,15.943742263813542,16.52255636206927
150,939,18.184958410431296,16.852665203496887
151,119,15.775605342011543,16.3663814545532
152,951,15.29711509888849,16.684037773119954
153,949,16.08763644347361,16.646028768655537
154,964,16.00156183470237,16.92151975474315
155,564,16.77042083699801,16.240296719765972
156,37,16.575520497997196,16.947314919918384
157,104,17.04631495369775,17.069828539188947
158,15,16.660419941783683,17.201529031573006
159,253,16.1378982782545,16.877684889262163
160,423,16.660419941783683,17.02149149578905
161,473,17.06200154986545,16.788587345478714
162,659,17.43985149094064,16.678948017962426
163,141,15.03928598958639,16.92516795317071
164,835,16.67771143889374,16.892725514174625
165,347,16.749367427800177,17.351032122726334
166,41,16.02378497148708,17.02092570017836
167,769,15.978833583624812,16.735383938570237
168,458,19.240460575445677,17.311462531297536
169,335,17.574382383898246,17.766708661736853
170,244,15.64005985001532,16.681895633337675
171,884,16.056220247240233,16.804221346992193
172,101,16.955343175492022,16.835868984281582
173,877,16.90655301132259,17.308684434760302
174,717,16.316946509703484,17.460012846804208
